69002,92
69007,92
69008,92
69012,69
69013,54
69014,93
69016,93
69017,95
69019,54
70026,
70063,
70086,
70133,
70174,
70194,
70200,
70207,
70219,
70231,
70232,
70251,
70259,
70260,
70261,
70264,
70266,
70267,
70270,
70271,
70273,
70275,
70291,
70296,
70308,
70316,
70321,
70326,
70333,
70340,
70341,
70343,
70350,
70361,
70371,
70381,
70387,
70395,
70398,
70414,
70454,
70489,
71043,
71045,
71051,
71062,
71066,
71068,
71069,
71072,
71073,
71076,
71077,
71078,
71079,
71090,
71101,
71102,
71103,
71104,
71107,
71108,
71109,
71114,
71120,
71121,
71122,
71123,
71125,
71129,
71135,
71138,
71140,
71143,
71145,
71182,
71187,
71188,
71193,
71196,
71395,
71398,
71399,
71527,
71538,
71600,
71601,
71603,
71604,
71609,
71610,
71620,
71621,
71623,
71624,
71625,
71626,
71627,
71628,
71630,
71631,
71633,
71700,
71701,
71702,
71705,
71706,
71707,
71709,
71711,
71714,
71716,
71717,
71718,
71720,
71722,
71725,
71727,
71730,
71731,
71733,
71735,
71739,
71749,
71799,
71801,
71803,
71805,
71808,
71809,
71811,
71813,
71815,
71816,
71819,
71821,
71822,
71825,
71826,
71828,
71831,
71834,
71836,
71841,
71842,
71846,
71848,
71850,
71851,
71852,
71854,
71855,
71856,
71858,
71861,
71862,
71863,
71864,
71865,
71866,
71867,
71868,
71869,
71870,
71871,
71872,
71873,
71874,
71876,
71877,
71878,
71879,
71880,
71881,
71882,
71884,
71887,
71888,
71889,
71890,
71891,
71892,
71893,
71896,
71898,
71899,
71900,
71905,
71906,
71907,
71909,
71912,
71913,
71915,
71916,
71917,
71920,
71922,
71923,
71924,
71925,
71926,
71928,
71930,
71931,
71932,
71933,
71934,
71935,
71936,
71938,
71940,
71943,
71944,
71945,
71946,
71950,
71951,
71952,
71953,
71957,
71958,
71964,
71965,
71966,
71967,
72201,
72202,68
72203,68
72204,67
72205,67
72206,66
72207,66
72208,12
72210,67
72211,67
72212,66
72213,66
72214,69
72215,56
72217,56
72218,56
72219,56
72220,69
72221,69
72222,69
72223,69
72225,56
72226,57
72228,57
72229,57
72230,57
72231,70
72232,70
72233,70
72234,58
72235,58
72239,71
72240,71
72242,71
72243,71
72247,60
72248,59
72249,61
72250,63
72251,62
72252,63
72253,62
72254,62
72255,71
72256,61
72257,61
72258,61
72259,61
72260,61
72261,64
72262,65
72263,64
72264,65
72265,55
72266,54
72267,55
72268,100
72270,65
72271,101
72273,98
72274,98
72278,96
72280,96
72281,94
72286,93
72288,93
72290,93
72291,
72293,93
72295,93
72297,93
72303,12
72304,10
72305,12
72306,13
72308,10
72309,12
72310,13
72311,56
72312,13
72314,13
72315,11
72317,13
72318,11
72319,13
72320,56
72323,50
72324,11
72326,11
72327,50
72329,38
72330,40
72334,51
72340,59
72341,52
72344,52
72348,40
72349,52
72351,54
72352,45
72353,53
72354,53
72355,53
72356,43
72357,53
72360,100
72363,55
72364,102
72365,101
72370,95
72371,97
72374,97
72376,97
72381,94
72383,94
72384,91
72386,95
72387,95
72389,91
72391,93
72393,93
72394,93
72401,10
72402,10
72403,7
72404,7
72405,7
72406,7
72407,7
72408,7
72410,10
72411,9
72412,9
72414,9
72421,38
72422,38
72423,39
72424,39
72425,9
72426,6
72427,9
72428,6
72429,6
72432,39
72433,24
72434,41
72435,39
72437,39
72438,24
72439,41
72440,52
72445,41
72446,42
72450,44
72451,45
72452,44
72455,43
72456,43
72458,44
72460,45
72462,99
72464,47
72465,45
72466,47
72468,47
72469,46
72470,84
72472,84
72476,48
72481,91
72483,88
72485,90
72486,86
72488,87
72489,87
72491,92
72492,91
72493,92
72494,92
72501,4
72502,4
72503,4
72504,4
72506,4
72507,4
72508,4
72509,4
72511,7
72512,8
72513,8
72514,8
72515,3
72517,7
72518,4
72519,5
72520,8
72521,5
72523,5
72524,5
72525,5
72526,5
72528,5
72529,5
72530,25
72532,24
72533,23
72534,25
72535,23
72536,23
72537,23
72539,23
72540,42
72543,25
72544,25
72545,33
72546,33
72547,33
72548,33
72549,33
72550,36
72551,36
72552,36
72553,36
72554,36
72556,34
72557,34
72558,36
72561,37
72562,35
72563,37
72564,37
72566,37
72567,35
72569,37
72572,83
72574,49
72576,32
72578,77
72581,85
72582,86
72583,87
72591,88
72594,89
72597,81
72604,1
72605,2
72606,2
72608,2
72613,1
72617,3
72618,2
72632,23
72634,22
72635,22
72636,22
72637,23
72638,22
72639,22
72640,25
72641,25
72643,26
72644,27
72645,14
72646,26
72648,
72649,27
72650,34
72651,34
72652,34
72653,29
72654,28
72655,27
72658,27
72659,28
72661,30
72662,30
72665,31
72666,31
72670,32
72671,49
72672,32
72677,20
72681,79
72683,80
72688,74
72693,81
72694,81
72698,81
72712,1
72734,14
72741,26
72743,14
72744,14
72745,15
72747,15
72753,16
72755,15
72757,16
72758,16
72764,17
72767,17
72768,18
72772,20
72773,21
72775,20
72776,20
72777,19
72779,21
72781,74
72783,73
72784,74
72785,72
72786,72
72788,74
72789,72
72791,82
72792,75
72793,75
72797,76
74002,
74004,96
74206,75
74207,75
74370,5
74389,2
74392,2
74455,33
74460,25
74486,4
74492,4
74494,4
74506,92
74509,92
74516,88
74520,85
74531,47
74560,24
74570,6
74594,7
74598,10
74611,94
74612,94
74619,94
74671,39
74693,12
74702,91
74724,96
74732,102
74740,64
74754,70
74755,70
74775,69
74777,69
74788,67
74790,13
74791,12
74794,67
