"Date","Scott","VWT"
20090902,2.66,3.18
20090903,3.98,8.19
20090904,1.17,6.19
20090905,"NaN"," NaN"
20090906,"NaN"," NaN"
20090907,-7.25,-2.84
20090908,7.14,8.19
20090909,12.4,16.22
20090910,11.61,13.71
20090911,14.65,14.21
20090912,"NaN"," NaN"
20090913,"NaN"," NaN"
20090914,10.49,14.21
20090915,-7.41,-0.33
20090916,-1.44,2.17
20090917,-5.9,-2.84
20090918,-1.99,1.17
20090919,"NaN"," NaN"
20090920,"NaN"," NaN"
20090921,7.7,2.17
20090922,24.48,20.74
20090923,17.76,14.21
20090924,2.66,-2.34
20090925,20.86,15.72
20090926,"NaN"," NaN"
20090927,"NaN"," NaN"
20090928,23.36,27.26
20090929,20.56,25.25
20090930,50.21,52.34
20091001,60.28,55.85
20091002,56.92,53.34
20091003,"NaN"," NaN"
20091004,"NaN"," NaN"
20091005,48.53,46.82
20091006,34.55," NaN"
20091007,29.85,28.26
20091008,61.11,55.35
20091009,44.2,40.8
20091010,"NaN"," NaN"
20091011,"NaN"," NaN"
20091012,-10.06,-13.38
20091013,25.88,21.74
20091014,41.82,33.28
20091015,31.75,25.25
20091016,31.75,27.76
20091017,"NaN"," NaN"
20091018,"NaN"," NaN"
20091019,-31.46,-29.93
20091020,-20.28,-18.9
20091021,-24.19,-18.9
20091022,-26.43,-23.91
20091023,4.9,4.18
20091024,"NaN"," NaN"
20091025,"NaN"," NaN"
20091026,29.25,24.75
20091027,-1.07,0.17
20091028,31.49,27.76
20091029,45.53,38.29
20091030,70.35,61.87
20091031,"NaN"," NaN"
20091101,"NaN"," NaN"
20091102,64.76,53.85
20091103,37.11,32.27
20091104,55.64,53.34
20091105,61.11,58.36
20091106,57.32,56.35
20091107,"NaN"," NaN"
20091108,"NaN"," NaN"
20091109,27.56,30.27
20091110,23.92,26.76
20091111,40.14,43.81
20091112,51.89,54.35
20091113,50.21,53.85
20091114,"NaN"," NaN"
20091115,"NaN"," NaN"
20091116,35.75,30.77
20091117,16.58,18.18
20091118,20.53,20.44
20091119,"NaN"," NaN"
20091120,4.75,7.77
20091121,"NaN"," NaN"
20091122,"NaN"," NaN"
20091123,-10.47,-6.21
20091124,3.98,5.18
20091125,30.37,31.27
20091126,51.15,51.34
20091127,42.38,44.31
20091128,"NaN"," NaN"
20091129,"NaN"," NaN"
20091130,52.63,50.84
20091201,55.97,55.35
20091202,26.43,28.26
20091203,25.04,23.75
20091204,29.25,29.26
20091205,"NaN"," NaN"
20091206,"NaN"," NaN"
20091207,4.18,7.19
20091208,18.27,20.74
20091209,21.36,24.25
20091210,55.25,52.84
20091211,53.01,47.83
20091212,"NaN"," NaN"
20091213,"NaN"," NaN"
20091214,1.73,-3.34
20091215,-5.57,-6.86
20091216,-9.5,-1.34
20091217,-23.53,-13.88
20091218,12.17,18.73
20091219,"NaN"," NaN"
20091220,"NaN"," NaN"
20091221,6.37,8.19
20091222,30.89,25.25
20091223,71.58,63.38
20091224,,50.84
20091225,,57.36
20091226,," NaN"
20091227,," NaN"
20091228,,50.84
20091229,,47.32
20091230,,49.33
20091231,,45.32
